IsAccountPrivate,IsVerified,HasProfilePicture,AnzahlFolgeIch,AnzahlFollower,AnzahlLikes,HasAccountDescription,AnzahlPosts,AreLikedVideosPrivate,NumberOfLikedVideos,IsABot
False,False,True,262,11,0,False,0,True,0.0,True
False,False,True,544,22,3,False,1,False,20.0,True
False,False,True,31,16,53,False,17,True,0.0,False
False,False,True,706,19,48,False,1,False,9.0,True
False,False,True,789,107,1858,True,20,True,0.0,False
False,False,True,169,7,0,True,0,False,20.0,True
False,False,True,89,0,0,True,0,True,0.0,True
False,False,True,175,2,0,False,0,False,20.0,True
False,False,True,69,0,0,True,0,True,0.0,True
False,False,True,142,1,0,True,0,True,0.0,True
False,False,True,61,17,211,True,12,True,0.0,False
False,False,True,41,112,381,True,20,True,0.0,False
False,False,True,102,279100,1600000,True,20,True,0.0,False
False,False,True,152,1,0,True,0,True,0.0,True
False,False,True,3599,224,92,False,6,False,20.0,True
False,False,True,27,67,727,False,0,False,20.0,False
True,False,False,63,18,0,False,0,True,0.0,False
False,False,True,14,0,0,False,0,False,6.0,True
False,False,True,314,13300,134000,True,20,True,0.0,False
False,False,True,649,18,0,False,0,False,20.0,True
False,False,True,12,18,180,False,20,True,0.0,False
False,False,True,2607,28,0,True,0,False,3.0,True
False,False,True,1127,38,0,False,0,False,20.0,True
False,False,True,9991,613,0,False,0,False,20.0,True
False,False,True,4210,203,0,False,0,False,20.0,True
False,False,True,119,2,0,True,0,True,0.0,True
False,False,True,1387,71,26,False,4,False,20.0,True
False,False,True,64,1,0,False,0,True,0.0,False
False,False,True,145,1,0,True,0,True,0.0,True
True,False,True,258,9,0,False,0,True,0.0,False
False,False,True,221,319000,11700000,True,20,True,0.0,False
False,False,True,337,19,0,False,0,False,20.0,True
False,False,True,80,1,0,False,0,False,16.0,True
False,False,True,56,3,0,False,0,True,0.0,False
False,False,True,259,1800000,45700000,True,20,True,0.0,False
False,False,True,524,31,22,True,3,False,20.0,True
False,False,True,121,6,0,False,0,True,0.0,False
False,False,True,102,0,0,True,0,True,0.0,True
False,False,True,9339,256,0,True,0,False,20.0,True
False,False,True,123,1,0,True,0,True,0.0,True
False,False,True,436,5,0,False,0,False,20.0,True
False,False,True,286,202,1430,True,20,False,20.0,True
True,False,True,335,212,4628,False,0,True,0.0,False
False,False,True,80,0,0,True,0,True,0.0,True
False,False,False,153,18,0,False,0,True,0.0,False
False,False,True,64,1200000,11600000,True,20,True,0.0,False
False,False,True,322,2,0,False,0,False,20.0,True
False,False,True,203,1469,22100,True,20,True,0.0,False
False,False,True,51,257,10,True,3,True,0.0,False
False,False,True,169,3,0,False,0,True,0.0,True
False,False,True,242,2,0,False,0,False,20.0,True
False,False,True,140,3,0,True,0,True,0.0,True
False,False,True,1319,88,0,False,0,False,20.0,True
False,False,True,408,6,0,False,0,False,20.0,True
True,False,True,45,8079,270100,False,0,True,0.0,False
False,False,True,6296,255,0,False,0,False,20.0,True
False,False,True,508,36,0,True,0,False,20.0,True
False,False,True,1039,40,0,False,0,True,0.0,True
False,False,True,1570,71,12,True,3,False,9.0,True
False,False,True,47,452300,7300000,True,20,True,0.0,False
False,False,True,329,13,0,False,15,False,9.0,True
False,False,True,1438,47,3,True,2,False,9.0,True
False,False,True,381,8,0,False,0,False,20.0,True
False,False,True,123,0,0,True,0,True,0.0,True
False,False,True,87,96,2931,True,3,True,0.0,False
False,False,False,0,0,0,True,0,True,0.0,True
False,False,True,257,2549,25600,True,20,True,0.0,False
False,False,True,20,359600,3800000,True,20,True,0.0,False
False,False,True,478,2677,13000,False,20,True,0.0,False
False,False,True,190,24,0,False,0,False,20.0,True
False,False,True,155,295900,5400000,True,20,True,0.0,False
False,False,True,32,8,4,False,1,True,0.0,False
False,False,True,1496,617,18,True,0,True,0.0,False
True,False,True,35,2,0,False,0,True,0.0,False
False,False,False,0,6,0,False,0,True,0.0,True
False,False,True,1800,103,7,False,14,True,0.0,True
False,False,True,261,28,0,True,1,False,20.0,True
False,False,True,140,8,2,False,1,False,20.0,True
False,False,False,0,1,0,True,0,True,0.0,True
False,False,True,767,1455,1321,False,4,False,20.0,True
False,False,True,88,445900,7000000,True,20,True,0.0,False
False,False,False,0,0,0,False,0,True,0.0,True
False,False,True,152,162,3113,True,20,True,0.0,False
False,False,True,29,21,0,False,0,True,0.0,False
False,False,True,120,1,0,True,0,True,0.0,True
False,False,True,107,0,0,True,0,True,0.0,True
False,False,True,4,1,0,True,0,True,0.0,False
False,False,True,66,0,0,False,0,False,16.0,True
False,False,True,529,5,0,False,0,False,20.0,True
False,True,True,173,1800000,37700000,True,9,True,0.0,False
False,False,True,74,3,0,False,0,True,0.0,True
False,False,True,160,0,0,True,0,True,0.0,True
True,False,True,266,21,0,False,0,True,0.0,False
False,False,True,85,0,0,True,0,True,0.0,True
False,False,True,41,27,2,True,0,True,0.0,False
False,False,True,93,0,0,True,0,True,0.0,True
False,False,True,2909,103,0,False,0,False,20.0,True
True,False,False,616,14,0,False,0,True,0.0,False
False,False,True,224,4,0,False,0,False,0.0,True
False,False,True,156,2,1,True,1,False,9.0,True
False,False,True,427,45,24,True,4,False,20.0,True
False,False,True,19,165000,1300000,True,20,True,0.0,False
False,False,True,4133,338,817,False,20,True,0.0,False
False,False,True,1900,99,2,False,1,False,20.0,True
False,False,True,109,0,0,True,0,True,0.0,True
False,False,True,46,103,589,True,3,True,0.0,False
False,False,True,25,58,456,True,2,True,0.0,False
False,False,True,82,3942,137400,False,17,True,0.0,False
False,False,True,479,25,82,False,4,False,9.0,True
False,False,True,1068,342,2744,True,20,True,0.0,False
False,False,True,1261,3053,5177,True,20,True,0.0,False
False,False,False,0,0,0,True,0,True,0.0,True
False,False,True,1317,5731,582,True,16,False,20.0,True
False,False,True,8,1,0,False,0,True,0.0,False
False,False,True,312,128,155,False,11,True,0.0,False
False,False,True,105,0,0,True,0,True,0.0,True
False,False,True,389,6,0,True,0,False,20.0,True
True,False,True,1087,1043,10400,False,0,True,0.0,False
False,False,False,76,13,14,True,2,True,0.0,False
False,False,True,104,0,0,True,0,True,0.0,True
False,False,True,3527,93,43,False,20,False,9.0,True
False,False,True,3598,79,0,False,0,False,20.0,True
False,False,True,0,0,26,False,1,True,0.0,True
False,False,True,45,15,0,True,0,True,0.0,False
False,False,True,65,0,0,True,0,True,0.0,True
False,False,True,989,2237,34300,True,20,True,0.0,False
False,False,True,349,3,0,False,0,False,20.0,True
False,False,True,691,89,1153,True,2,False,20.0,True
False,False,True,2783,178,426,True,8,True,0.0,False
False,False,True,67,42200,87400,True,17,True,0.0,False
False,False,True,644,7,0,False,0,False,12.0,True
False,False,True,305,3,0,False,0,False,20.0,True
False,False,True,7,972300,17500000,True,20,True,0.0,False
False,False,True,438,9,0,False,0,False,20.0,True
False,False,True,173,2,0,True,0,True,0.0,True
False,False,True,141,132,180,True,11,True,0.0,False
False,False,True,56,44,806,True,4,True,0.0,False
False,False,True,834,29,0,False,0,False,20.0,True
False,False,True,43,686,6127,True,20,True,0.0,False
False,False,True,147,3,8,False,20,False,20.0,True
False,False,True,1162,44,0,False,0,False,20.0,True
False,False,True,94,2,0,False,0,False,20.0,True
False,False,True,847,39,2,False,2,False,9.0,True
False,False,True,166,1,0,True,0,True,0.0,True
True,False,True,227,3,0,False,0,True,0.0,False
False,False,True,486,13,0,False,0,False,20.0,True
False,False,False,0,0,0,True,0,True,0.0,True
False,True,True,184,12400000,143000000,True,0,False,20.0,False
False,False,True,124,1,0,False,0,False,20.0,True
False,False,True,370,3,0,False,0,False,20.0,True
False,False,True,85,0,0,True,0,True,0.0,True
False,False,True,86,0,0,True,0,True,0.0,True
False,False,True,122,5,18,False,11,True,0.0,True
False,False,True,312,32,4,True,1,False,20.0,True
False,False,True,2487,47,0,False,0,False,20.0,True
False,False,True,177,33,6,False,1,True,0.0,False
True,False,True,714,1904,18500,False,0,True,0.0,False
False,False,True,97,1,0,True,0,True,0.0,True
False,False,True,2609,1879,339,True,9,True,0.0,True
False,False,True,81,0,0,True,0,True,0.0,True
False,False,False,0,4,0,True,0,True,0.0,True
False,False,True,152,4,0,False,0,False,20.0,True
False,False,True,54,130,601,True,20,True,0.0,False
False,False,True,59,388800,2700000,True,20,True,0.0,False
False,False,True,1095,34,0,False,0,False,20.0,True
False,False,True,75,0,0,True,0,True,0.0,True
False,False,True,821,21,0,False,0,False,20.0,True
False,False,True,74,1,0,False,0,False,4.0,True
False,False,True,113,1,0,True,0,True,0.0,True
False,False,True,263,43,1,True,0,True,0.0,False
False,False,True,404,5,0,False,0,False,20.0,True
False,False,True,2203,87,5,True,1,False,9.0,True
False,False,True,1243,39,0,False,0,False,20.0,True
False,False,True,39,81400,516299,True,20,True,0.0,False
False,False,True,2491,2186,388,True,1,False,20.0,True
False,False,True,212,0,0,False,0,False,20.0,True
False,False,True,111,0,0,True,0,True,0.0,True
False,False,True,1015,12500,275900,True,20,True,0.0,False
True,False,True,324,74,18,False,0,True,0.0,False
False,False,True,3800,155,0,False,0,False,20.0,True
False,False,True,67,26,0,False,0,True,0.0,False
False,False,True,159,1,0,True,0,True,0.0,True
False,False,True,122,0,0,True,0,True,0.0,True
False,False,True,481,77,4,False,1,False,20.0,True
False,False,True,1055,36,0,False,0,False,20.0,True
False,False,True,139,71,204,False,6,False,20.0,True
False,True,True,69,5900000,219000000,True,20,False,20.0,False
False,False,True,93,0,0,True,0,True,0.0,True
False,False,True,113,91,223,True,0,True,0.0,False
False,False,True,167,37,161,True,3,True,0.0,False
False,False,True,10,18,156,False,20,True,0.0,False
False,False,False,0,8,0,False,0,True,0.0,True
False,False,True,79,0,0,True,0,True,0.0,True
False,False,True,409,3,0,False,0,False,20.0,True
False,False,True,92,0,0,True,0,True,0.0,True
False,False,True,1569,80,0,False,0,True,0.0,True
False,False,True,338,3,0,False,0,False,20.0,True
False,False,True,1509,80,0,False,0,False,20.0,True
False,False,True,912,2324,101500,True,9,True,0.0,False
False,False,True,190,1,1,False,1,False,20.0,True
False,False,True,19,21,0,True,0,True,0.0,False
False,False,True,646,253,193,True,20,False,20.0,True
False,False,True,355,13900,112200,True,20,True,0.0,False
False,False,True,250,129,759,True,0,True,0.0,False
False,False,True,139,1900000,40300000,True,20,True,0.0,False
False,False,True,2,2,0,False,0,False,20.0,False
False,False,True,747,26,33,False,4,False,20.0,True
True,False,True,23,22,16,False,0,True,0.0,False
False,False,True,5569,258,18,False,2,False,9.0,True
False,False,True,725,16,0,False,0,False,20.0,True
False,False,True,353,1,0,False,0,False,20.0,True
False,False,True,940,31,0,False,0,False,20.0,True
False,False,True,8,366400,3500000,True,3,True,0.0,False
False,False,True,240,3,0,False,0,False,12.0,True
False,False,True,69,742,36800,True,20,True,0.0,False
False,False,False,34,50,0,False,0,True,0.0,False
False,False,True,1251,45,0,False,0,False,20.0,True
False,False,True,191,5,0,True,0,False,20.0,True
False,False,True,15,2312,42900,True,20,True,0.0,False
False,False,True,100,0,0,True,0,True,0.0,True
False,False,True,171,4,14,False,1,True,0.0,False
False,False,True,353,1,0,False,0,False,20.0,True
False,False,True,982,51,0,False,0,True,0.0,False
False,False,True,407,2600000,98100000,True,20,True,0.0,False
False,False,True,92,0,0,True,0,True,0.0,True
False,False,True,142,9,0,False,0,True,0.0,False
False,False,True,95,0,0,True,0,True,0.0,True
False,False,False,0,0,0,True,0,True,0.0,True
False,False,False,0,6,0,False,0,True,0.0,True
False,False,True,22,130300,1600000,True,20,True,0.0,False
False,False,True,527,6,0,False,0,False,20.0,True
False,False,True,662,27,0,False,0,False,20.0,True
True,False,True,1205,28,11,False,0,True,0.0,False
False,False,True,2665,46,0,True,0,False,20.0,True
False,False,True,299,2,0,False,0,False,20.0,True
False,False,True,194,4,5,False,12,False,20.0,True
False,False,True,189,68,501,True,20,True,0.0,False
False,False,True,3860,188,70,False,2,False,9.0,True
False,False,True,1081,11,0,False,0,False,20.0,True
False,False,False,0,0,0,True,0,True,0.0,True
False,False,False,0,0,0,False,0,True,0.0,True
True,False,True,312,11,94,False,0,True,0.0,False
False,False,True,425,273,11,True,2,False,20.0,True
False,False,True,299,18,0,True,0,True,0.0,True
False,False,True,122,1,0,True,0,True,0.0,True
False,False,True,334,5,0,False,0,False,20.0,True
False,False,True,1904,19400,20100,True,20,False,20.0,True
False,False,True,137,133,1003,True,20,True,0.0,False
False,False,False,0,1,0,True,0,True,0.0,True
False,False,True,141,1,0,True,0,True,0.0,True
False,False,True,127,1,0,True,0,True,0.0,True
False,False,True,88,0,0,True,0,True,0.0,True
False,False,True,204,1000000,15200000,True,20,True,0.0,False
False,False,True,135,0,0,True,0,True,0.0,True
False,False,True,4,5,10,True,2,True,0.0,False
False,False,True,68,0,0,True,0,True,0.0,True
False,False,True,288,138,1410,True,20,True,0.0,False
False,False,True,62,1,0,False,0,False,8.0,True
False,False,True,20,23300,245700,True,20,True,0.0,False
False,False,True,1680,171,7,True,5,False,20.0,True
False,False,True,415,3,0,False,0,False,20.0,True
False,False,True,838,29,0,False,0,False,20.0,True
False,True,True,15,614600,12800000,True,20,True,0.0,False
False,False,True,798,46,264,True,20,True,0.0,False
False,False,True,80,39000,214000,True,20,True,0.0,False
False,False,True,1833,232,4032,True,20,True,0.0,False
False,False,True,314,12,0,False,0,False,20.0,True
False,False,True,42,0,0,False,0,False,12.0,True
False,False,False,316,93,0,False,0,True,0.0,True
False,False,True,99,0,0,True,0,True,0.0,True
False,False,True,1246,71,0,False,0,False,20.0,True
True,False,True,12,16,98,False,0,True,0.0,False
False,False,True,297,6,0,True,0,False,3.0,True
False,False,True,531,19,0,False,0,True,0.0,True
False,False,True,112,0,0,True,0,True,0.0,True
False,False,True,610,23,0,False,0,False,20.0,True
False,False,True,9998,5111,6761,True,12,False,9.0,True
False,False,True,0,2,18,True,8,True,0.0,False
False,False,True,107,0,0,True,0,True,0.0,True
False,False,True,3462,93,0,False,0,False,20.0,True
False,False,True,2611,93,17,False,7,False,20.0,True
False,False,True,138,1,0,False,0,False,20.0,True
False,False,False,0,3,0,True,0,True,0.0,True
False,False,True,127,1,0,True,0,True,0.0,True
False,False,True,153,2,0,True,0,True,0.0,True
False,False,True,6948,198,131,False,12,False,20.0,True
False,False,True,731,30,0,False,0,True,0.0,True
False,False,True,146,2,0,False,0,False,20.0,True
False,False,False,0,0,0,False,0,True,0.0,True
False,False,True,367,5,0,False,0,False,20.0,True
False,False,True,60,58,0,True,0,True,0.0,False
False,False,True,83,0,0,True,0,True,0.0,True
False,False,True,147,7541,345300,True,18,True,0.0,False
False,False,True,114,0,0,True,0,True,0.0,True
False,False,True,172,4,9,False,1,True,0.0,False
False,False,True,707,20,0,False,0,False,20.0,True
False,False,True,129,1,0,True,0,True,0.0,True
False,False,True,901,28,0,False,0,False,20.0,True
False,False,True,88,0,0,True,0,True,0.0,True
False,False,True,24,242,26800,True,20,True,0.0,False
False,False,True,98,0,0,True,0,True,0.0,True
False,False,True,82,1,0,False,0,False,20.0,True
False,False,True,92,1,0,False,0,False,16.0,True
False,False,True,81,0,0,True,0,True,0.0,True
False,False,True,179,2,0,False,0,False,20.0,True
False,True,True,8,10900000,135200000,True,10,True,0.0,False
False,False,True,34,0,0,True,0,True,0.0,True
False,False,True,28,10,18,False,0,True,0.0,False
False,False,True,1274,28,4,False,1,False,20.0,True
False,False,True,96,0,0,True,0,True,0.0,True
False,False,True,205,2000000,13900000,True,18,True,0.0,False
False,False,True,112,0,0,True,0,True,0.0,True
False,False,True,3208,132,2,True,1,False,20.0,True
False,False,True,265,0,0,False,0,False,20.0,True
False,False,True,7910,544,341,False,8,False,20.0,True
True,False,True,33,34,854,False,0,True,0.0,False
False,False,True,1359,58,0,False,0,False,20.0,True
False,False,True,929,32,0,False,0,False,20.0,True
False,False,True,2,113,3351,False,20,True,0.0,False
False,False,True,40,4,0,False,0,True,0.0,False
False,False,True,9,4,0,False,0,True,0.0,False
False,False,True,25,18,73,True,2,True,0.0,False
False,False,True,365,3,0,False,0,False,20.0,True
False,False,True,108,3,26,True,17,True,0.0,True
False,False,False,0,0,0,True,0,True,0.0,True
False,False,True,154,0,0,True,0,True,0.0,True
False,False,True,124,0,0,True,0,True,0.0,True
