verified,statuses,location,date_joined,most_recent_post,following,followers,favourites,lists,tweet_language,tweets_this_week,retweet,retweeted_count,URL works,userNameScore,avg_tweets_by_hour_of_day,avg_tweets_by_day_of_week,account_type,screen_name
1,3305,1,2010,2023,186.0,4687543.0,698,8698,1,0.0,70.0,33732.0,1,0.5,8.292,28.429,1,iamjamiefoxx
1,1503,0,2016,2022,144.0,2477667.0,2285,1024,1,0.0,70.0,152267.0,0,0.9230769230769232,8.25,28.286,1,camilamendes
0,24293,1,2008,2023,1219.0,1175.0,58414,23,1,29.0,50.0,33171.0,0,0.5625,8.25,28.286,1,anastasiab
0,3646,0,2015,2022,56.0,78.0,12580,0,4,0.0,122.0,1419259.0,0,0.3,6.083,20.857,1,Andrew0354
0,134,1,2011,2017,0.0,25.0,4,0,1,0.0,14.0,2850.0,0,0.0909090909090909,5.5,18.857,1,three1two7
0,3144,1,2011,0,361.0,148.0,5365,5,0,0.0,0.0,0.0,0,0.0833333333333333,0.0,0.0,1,bloodfireink
0,23605,1,2013,2022,3942.0,1962.0,139007,20,1,0.0,126.0,257834.0,0,0.0588235294117647,8.042,27.571,1,TheOneMainChick
1,32209,1,2011,2023,464.0,233297.0,6371,588,1,8.0,2.0,5076.0,1,0.2352941176470588,8.333,28.571,1,LopyrevaVika
1,67130,1,2009,2023,1019.0,2461270.0,24427,6582,1,14.0,130.0,43817.0,1,0.3571428571428571,8.292,28.429,1,TRINArockstarr
0,235,0,2016,2017,0.0,4.0,97,0,1,0.0,128.0,108195.0,0,0.4666666666666667,7.25,24.857,1,Altarusso2906_J
1,19332,1,2009,2023,854.0,1205126.0,4441,2306,9,19.0,50.0,343347.0,1,0.3333333333333333,8.333,28.571,1,gleisi
1,32191,0,2010,2023,2717.0,1857455.0,4820,2469,10,0.0,2.0,24787.0,1,0.5,8.333,28.571,1,_danielmartin_
0,0,1,2021,0,23.0,5.0,24,0,0,0.0,0.0,0.0,1,0.1999999999999999,0.0,0.0,1,AlexTheProducer
0,19218,1,2013,2023,159.0,220.0,34317,2,1,0.0,162.0,922198.0,0,0.2222222222222222,7.833,26.857,1,davesfybr
0,801,1,2017,0,107.0,39.0,2,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,pceoout
1,86301,1,2008,2023,1828.0,321910.0,45530,372,1,46.0,184.0,77581.0,1,0.6,8.292,28.429,1,dilipkpandey
1,39768,1,2008,2023,887.0,84572.0,7561,464,1,30.0,66.0,22969.0,1,0.75,8.333,28.571,1,roshanabbas
0,10721,1,2009,2023,1292.0,392.0,2708,0,1,0.0,56.0,222639.0,0,0.7777777777777778,7.292,25.0,1,PapiMikee
0,18517,1,2010,2023,980.0,1700.0,19094,82,1,4.0,18.0,41041.0,0,0.0,8.333,28.571,1,brandnewwatch
0,776,0,2017,2017,0.0,0.0,361,0,1,0.0,136.0,57021.0,0,0.1111111111111111,6.458,22.143,1,fay_alexa
0,1761,1,2017,2017,212.0,139.0,1282,0,7,0.0,146.0,177977.0,0,0.8,6.167,21.143,1,andre_marquezan
0,47140,1,2014,2023,45543.0,48611.0,45403,34,1,4.0,144.0,617553.0,0,0.2857142857142857,8.333,28.571,1,donohue_rebekah
0,2831,1,2009,2023,296.0,106.0,55942,2,1,10.0,130.0,377085.0,0,0.9090909090909092,8.25,28.286,1,Mssleepy876
1,4474,1,2011,2020,674.0,37756.0,1480,439,1,0.0,40.0,5979.0,1,0.7692307692307692,8.292,28.429,1,johnvarvatos
0,182,0,2017,2017,0.0,0.0,126,0,1,0.0,124.0,334025.0,0,0.0,6.333,21.714,1,iqvrowsw539
1,4340,0,2009,2023,525.0,960642.0,1948,2147,2,1.0,10.0,43341.0,0,0.125,8.292,28.429,1,TheCUTCH22
0,2890,0,2011,2023,266.0,104.0,6352,4,1,4.0,24.0,134588.0,0,0.0,8.333,28.571,1,enorbs
1,2454,0,2010,2023,333.0,821568.0,2425,807,10,1.0,36.0,7182.0,1,0.7142857142857143,8.333,28.571,1,tomasgonzalez1
0,208183,1,2012,2023,8595.0,1065352.0,31308,2314,10,200.0,76.0,11411.0,1,0.65,8.333,28.571,1,ChuoTorrealba
0,73708,1,2011,2023,5503.0,5016.0,161333,104,1,10.0,164.0,218000.0,0,0.1999999999999999,8.208,28.143,1,ForLuvOfAnimals
0,220,0,2012,2017,1246.0,15.0,34,1,1,0.0,136.0,553661.0,0,1.0,7.667,26.286,1,jamiekittrell
1,30273,1,2009,2023,3753.0,1750757.0,143,9529,1,1.0,58.0,83393.0,1,0.75,8.333,28.571,1,georgelopez
1,85482,1,2011,2023,2285.0,2342.0,107431,52,11,18.0,56.0,61076.0,0,0.7142857142857143,8.333,28.571,1,Ditti33
0,4397,1,2009,2023,113.0,34.0,3132,5,12,0.0,6.0,66201.0,1,0.9166666666666666,8.292,28.429,1,DonnaZalter
0,10232,1,2009,2023,913.0,13485.0,40991,156,1,1.0,24.0,81733.0,0,0.3333333333333333,8.333,28.571,1,Tcann13
0,219,0,2016,2017,0.0,0.0,78,0,1,0.0,134.0,202681.0,0,0.0,7.583,26.0,1,potter_darci
1,1614,1,2014,2023,140.0,1508882.0,634,4710,1,2.0,28.0,147456.0,1,0.1875,8.333,28.571,1,GRRMspeaking
0,160,1,2015,2018,505.0,584.0,9335,0,13,0.0,10.0,141563.0,1,0.0,2.542,8.714,1,imaichi_mk_0327
1,26812,0,2007,2023,985.0,12606139.0,1009,44178,1,21.0,16.0,59807.0,1,0.8,8.333,28.571,1,richardbranson
1,53857,1,2011,2023,3007.0,31772.0,147680,295,2,84.0,38.0,210131.0,1,0.0769230769230768,8.333,28.571,1,MorganicInk
0,75690,1,2010,2023,898.0,1456.0,96480,4,1,93.0,74.0,243678.0,0,0.1999999999999999,8.208,28.143,1,saraidubai
0,295,1,2010,0,315.0,79.0,5806,0,0,0.0,0.0,0.0,0,0.1818181818181817,0.0,0.0,1,tkordeliski
1,4696,1,2014,2023,1036.0,1656.0,9443,47,1,2.0,66.0,2575.0,0,0.7142857142857143,8.333,28.571,1,RyanJenkins_TV
1,1768,1,2013,2023,122.0,5192116.0,1047,2060,2,2.0,20.0,129783.0,1,0.2142857142857143,8.333,28.571,1,ElNennY
1,732,1,2012,2023,70.0,304233.0,119,3716,1,0.0,12.0,11896.0,1,0.7857142857142857,8.333,28.571,1,danieldennett
0,10783,1,2009,2017,250.0,129.0,1761,0,1,0.0,134.0,425773.0,1,0.6666666666666667,5.667,19.429,1,ttfamanda
0,15128,1,2012,0,756.0,320.0,90901,6,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,proflpowell
0,18892,0,2010,2023,278.0,141332.0,5660,39,14,5.0,36.0,1291924.0,1,0.6666666666666667,8.25,28.286,1,bbinko
0,2740,1,2009,2023,1480.0,106.0,4516,17,1,0.0,14.0,79659.0,0,0.0833333333333333,8.292,28.429,1,TADAMS1959
0,10788,1,2009,2023,285.0,497.0,4415,1,6,3.0,8.0,65899.0,1,0.0,8.333,28.571,1,ibukucinggalak
0,65512,1,2015,2017,412.0,885.0,5890,2,9,0.0,86.0,46069.0,0,0.3333333333333333,4.167,14.286,1,coebrunin
0,29538,1,2011,2023,1834.0,1544.0,24234,98,1,0.0,86.0,904888.0,0,0.0,7.792,26.714,1,chic_cocobelle
1,16759,1,2009,2023,1614.0,1004747.0,2788,1486,1,0.0,30.0,64918.0,1,0.6153846153846154,8.292,28.429,1,KOlusola
1,137222,1,2010,2023,3802.0,1241854.0,2844,7947,1,200.0,124.0,100548.0,1,0.7272727272727273,8.333,28.571,1,mehdirhasan
0,549,0,2015,2019,80.0,232.0,4734,0,2,0.0,102.0,3657850.0,0,0.125,6.292,21.571,1,hmeader9
1,460,0,2009,2022,2.0,692261.0,1,5921,1,0.0,62.0,42033.0,1,0.25,8.333,28.571,1,krauthammer
0,6183,1,2011,2021,834.0,446.0,3535,10,5,0.0,56.0,5245.0,0,0.5882352941176471,8.208,28.143,1,francescaonair
1,119649,1,2009,2023,285069.0,345286.0,2296,4844,1,13.0,14.0,376.0,1,0.9,8.333,28.571,1,LukeRomyn
1,73231,1,2009,2023,40771.0,491362.0,35991,4783,1,130.0,110.0,39664.0,1,0.0,8.333,28.571,1,glaad
1,12109,1,2009,2023,1510.0,2210.0,11865,41,1,9.0,22.0,154.0,1,0.7857142857142857,8.333,28.571,1,BrendanKirbyTV
1,11533,1,2008,2023,1260.0,4062.0,8524,76,1,5.0,82.0,778493.0,0,0.7272727272727273,8.292,28.429,1,karawarner
0,19463,1,2009,2021,193.0,248.0,150,4,1,0.0,0.0,954.0,1,0.6428571428571428,8.333,28.571,1,gaverywilson
1,5847,0,2009,2023,370.0,1399953.0,2175,0,8,1.0,0.0,11746.0,1,0.3125,8.333,28.571,1,srkbdy
0,4317,1,2010,2021,1141.0,3340.0,4144,127,1,0.0,48.0,4143.0,1,0.9230769230769232,8.333,28.571,1,StewartMader
0,9654,0,2011,2023,286.0,971.0,1377,17,1,0.0,50.0,2123266.0,1,0.25,8.083,27.714,1,3mrKawji
0,1016,1,2012,2017,671.0,50.0,435,1,1,0.0,128.0,275692.0,0,0.0666666666666666,5.875,20.143,1,JAYROBIN69
0,50026,1,2010,2023,6378.0,12045.0,62487,556,1,30.0,138.0,138893.0,1,0.6666666666666667,8.292,28.429,1,sherryngick
0,770,1,2011,2017,0.0,23.0,423,0,1,0.0,126.0,319838.0,0,0.75,5.292,18.143,1,D_Roach9
0,204,0,2017,2017,0.0,1.0,91,0,1,0.0,134.0,99586.0,0,0.7333333333333334,6.417,22.0,1,genevaspiegel41
0,9108,0,2014,2023,311.0,1048.0,24067,0,1,0.0,140.0,2827617.0,0,0.1818181818181817,7.292,25.0,1,kayyyalexis
1,17895,0,2010,2023,224.0,3049178.0,10749,526,1,2.0,40.0,205455.0,1,0.1666666666666666,8.333,28.571,1,GAUAHAR_KHAN
0,2360,1,2018,2019,707.0,1100.0,554,15,1,0.0,80.0,1444.0,1,0.631578947368421,8.333,28.571,1,LatitudeNOLA
1,10879,0,2011,2022,794.0,631250.0,2234,703,1,0.0,30.0,530.0,1,0.6,8.292,28.429,1,AmeliaLilyOffic
1,14827,1,2011,2022,2430.0,2260.0,6286,98,5,0.0,88.0,73436.0,1,0.1999999999999999,8.333,28.571,1,jeshuf
0,203202,1,2013,2023,3691.0,4139.0,114823,211,15,200.0,94.0,10276.0,0,1.0,8.333,28.571,1,velomarc
0,42685,1,2016,2023,159.0,140.0,67534,2,1,162.0,186.0,902450.0,0,0.1428571428571429,8.292,28.429,1,mynicknameismj
0,6902,1,2011,2023,2255.0,2766.0,2407,65,1,0.0,108.0,150229.0,1,0.6666666666666667,8.25,28.286,1,PLANactionNV
0,17395,0,2016,2023,762.0,1103.0,85069,5,16,0.0,44.0,155226.0,0,0.0,8.292,28.429,1,maria_letizia_
0,19488,0,2011,2023,907.0,303.0,93974,16,1,3.0,132.0,939475.0,0,0.1999999999999999,8.333,28.571,1,lil_lady_angie
1,9654,0,2015,2023,72.0,5221376.0,11166,3794,1,0.0,40.0,141048.0,0,0.9333333333333332,8.292,28.429,1,Stranger_Things
1,67103,1,2008,2023,4286.0,1009654.0,116839,13423,1,11.0,98.0,31693.0,1,0.5833333333333333,8.333,28.571,1,hodgman
0,812,1,2012,2022,408.0,696.0,1729,5,1,0.0,0.0,1534.0,1,0.1428571428571429,8.333,28.571,1,therealcamile
1,5482,0,2016,2023,93.0,6428674.0,4165,4477,2,6.0,12.0,775768.0,1,0.9333333333333332,8.333,28.571,1,MarcusRashford
0,1695,1,2011,2023,156.0,54.0,1008,0,16,0.0,124.0,436202.0,1,0.1538461538461538,6.0,20.571,1,clabnet
0,66869,1,2013,2023,838.0,2704.0,35778,17,1,61.0,18.0,160969.0,1,0.2307692307692307,7.917,27.143,1,jayjay_isokay
0,15808,1,2009,2023,89.0,14575.0,4690,29,1,1.0,46.0,161244.0,1,0.9230769230769232,8.042,27.571,1,SaraSammakia
0,724,0,2011,2020,179.0,63.0,344,1,1,0.0,54.0,967337.0,0,0.2307692307692307,6.292,21.571,1,KevinCharlesM
0,5684,1,2009,2022,439.0,415174.0,17,985,1,0.0,8.0,1903.0,0,0.8125,8.25,28.286,1,phoemelabaranda
0,83517,1,2008,2023,4151.0,4132.0,285391,102,1,5.0,134.0,714989.0,1,0.0,8.25,28.286,1,MyaNikitaEtc
0,7685,1,2013,2023,1700.0,350.0,18475,29,1,8.0,170.0,375114.0,0,0.4285714285714286,7.625,26.143,1,YaiOxon
1,12985,1,2009,2023,757.0,1550566.0,247,1822,3,9.0,18.0,18024.0,0,0.0,8.333,28.571,1,ReemAbdullah
0,14544,1,2016,2023,244.0,254.0,47755,0,1,7.0,36.0,1096568.0,1,0.375,6.833,23.429,1,royislux
0,26441,1,2009,2023,4988.0,2867.0,12244,87,1,22.0,114.0,116072.0,0,0.3333333333333333,8.333,28.571,1,anton
1,140162,1,2013,2023,4520.0,682194.0,68087,925,1,80.0,84.0,186191.0,1,0.6666666666666667,8.333,28.571,1,ShefVaidya
0,3376,0,2012,2023,162.0,96.0,3002,0,1,0.0,96.0,1595654.0,0,0.7142857142857143,6.458,22.143,1,Yeuryyy
0,316,0,2010,2017,0.0,69.0,5,0,1,0.0,44.0,22536.0,1,0.6666666666666667,8.25,28.286,1,HarreeWils
0,3806,1,2009,2023,2251.0,293.0,17216,5,1,0.0,26.0,315728.0,0,0.7142857142857143,8.292,28.429,1,CocoLicious_11
1,13152,1,2008,2023,160.0,1931546.0,2206,5487,1,11.0,64.0,181968.0,1,0.0625,8.292,28.429,1,bobatl
0,331,1,2015,2022,328.0,141.0,458,5,1,0.0,102.0,356137.0,0,0.5,8.25,28.286,1,alghuizar
1,91271,1,2009,2023,5159.0,1764859.0,1188,2305,1,33.0,86.0,2287.0,1,0.7,8.333,28.571,1,kmichelle
0,793,1,2020,2023,139.0,226.0,943,0,10,4.0,54.0,27997.0,0,0.3529411764705882,8.333,28.571,1,_JesusDaza_
0,729,0,2017,2017,0.0,1.0,352,0,1,0.0,150.0,68545.0,0,0.9333333333333332,6.917,23.714,1,MelitaFranzese
0,7384,1,2010,2023,390.0,404.0,18097,2,1,6.0,106.0,403221.0,1,0.4,8.292,28.429,1,corleycline
1,17281,1,2011,2022,812.0,245611.0,5593,94,2,0.0,10.0,9295.0,0,0.5384615384615384,8.042,27.571,1,florivonVeliz
0,249,0,2016,2017,0.0,0.0,115,0,10,0.0,132.0,51946.0,0,0.5333333333333333,7.042,24.143,1,Oscarrog1828Rog
0,336,1,2018,2023,437.0,299.0,1280,1,1,1.0,100.0,1388156.0,1,0.5652173913043479,8.208,28.143,1,AMAntonsonPhD
0,2423,0,2012,2019,116.0,24.0,1622,0,10,0.0,32.0,269142.0,0,0.0,7.958,27.286,1,edwinjoselo
0,5145,1,2009,2023,653.0,530.0,6137,19,1,1.0,122.0,270032.0,1,0.3333333333333333,8.333,28.571,1,JuneUK
1,24129,1,2008,2023,119.0,4585436.0,43,36095,1,36.0,16.0,25083.0,1,0.75,8.333,28.571,1,paulkrugman
0,2051,0,2010,2017,0.0,20.0,1103,2,1,0.0,136.0,392570.0,0,0.1578947368421053,5.667,19.429,1,binick22
0,19660,1,2009,2023,635.0,1053.0,30467,6,1,21.0,110.0,381014.0,1,0.7333333333333334,8.333,28.571,1,sassybritches05
0,6790,0,2014,2017,992.0,543.0,15169,1,1,0.0,20.0,85865.0,0,0.5555555555555556,7.75,26.571,1,Freya6742
1,13231,1,2009,2023,2085.0,5965.0,13801,92,1,0.0,158.0,35363.0,1,0.9333333333333332,8.333,28.571,1,PradeepDwivedi
0,19595,1,2010,2023,973.0,106798.0,7571,78,10,0.0,174.0,380.0,1,0.3636363636363636,8.292,28.429,1,belytrevino
0,694,1,2014,2023,218.0,200.0,45,2,1,3.0,2.0,47.0,1,0.2727272727272727,8.333,28.571,1,armgroupinc
0,111580,1,2017,0,1713.0,916.0,134118,2,0,0.0,0.0,0.0,1,0.2105263157894736,0.0,0.0,1,Camilacabellnyc
1,15692,0,2009,2022,1974.0,1465976.0,3,6551,1,0.0,32.0,121417.0,1,0.3076923076923077,8.25,28.286,1,diggy_simmons
0,2290,1,2009,2022,504.0,311.0,4758,23,1,0.0,132.0,2125935.0,0,0.1333333333333333,8.25,28.286,1,eatpastry
1,79,1,2013,2023,3425.0,25041.0,44470,413,1,0.0,8.0,37485.0,1,0.0,1.5,5.143,1,AyresAlyssa
0,175019,1,2011,2023,5202.0,4939.0,136449,89,1,135.0,124.0,254195.0,1,0.9375,8.292,28.429,1,beshannonphotos
0,2382,1,2010,2023,314.0,215.0,6071,6,1,1.0,66.0,17494.0,1,0.4545454545454546,8.292,28.429,1,slmaaske
1,601,1,2013,2023,188.0,1263253.0,2440,1817,1,0.0,100.0,54762.0,1,0.9090909090909092,8.333,28.571,1,GaryJCahill
0,213,0,2017,2017,0.0,0.0,131,0,3,0.0,130.0,348208.0,0,0.0,6.208,21.286,1,ujwiwguheeamw11
1,125617,0,2010,2023,1059.0,400513.0,9775,1577,1,154.0,18.0,2242.0,1,1.0,8.333,28.571,1,247Sports
0,12772,0,2012,2023,915.0,543.0,15340,25,1,1.0,180.0,4435.0,1,0.3076923076923077,8.292,28.429,1,miyajones1996
0,7201,1,2017,2023,2.0,137.0,5204,2,7,55.0,182.0,52814.0,1,0.3888888888888888,8.333,28.571,1,ai_autonomous
1,59312,1,2009,2023,900.0,17659.0,8418,617,1,61.0,24.0,7330.0,1,0.1428571428571429,8.333,28.571,1,ArnoldcommaJon
1,15083,1,2010,2023,4567.0,11239.0,9720,335,1,12.0,18.0,9454.0,1,0.9230769230769232,8.292,28.429,1,AmberSullins
0,2662,1,2011,2023,450.0,176.0,864,1,1,0.0,44.0,166481.0,0,0.3636363636363636,8.208,28.143,1,MAKotb
1,2094,1,2008,2023,409.0,384374.0,836,2079,1,1.0,0.0,13053.0,1,0.9285714285714286,8.333,28.571,1,SusanWojcicki
0,93068,1,2012,2023,30070.0,1454503.0,32666,576,1,199.0,108.0,43518.0,1,0.9,8.292,28.429,1,HermaineM
1,31801,1,2009,2023,177.0,997558.0,35375,2788,9,4.0,82.0,857.0,1,0.6666666666666667,8.292,28.429,1,AmgsInvisibles
0,5583,1,2012,2017,0.0,178.0,1391,0,1,0.0,86.0,257504.0,0,0.3,8.125,27.857,1,CamHoward_
0,6,0,2021,2021,7.0,0.0,2,0,1,0.0,0.0,0.0,0,0.8235294117647058,0.25,0.857,1,MillennialAdul1
0,313,0,2018,2020,48.0,20.0,554,0,1,0.0,128.0,802214.0,0,0.4,6.458,22.143,1,xbabyblyat
1,35801,1,2011,2023,458.0,105310.0,23520,417,18,39.0,34.0,3617.0,1,0.1428571428571429,8.333,28.571,1,Casperenush
0,31652,1,2011,2023,2933.0,3519.0,19673,7,1,3.0,4.0,19553.0,0,0.2307692307692307,8.333,28.571,1,breezyxjunkie
1,8303,1,2009,2023,1033.0,30220.0,1058,953,1,0.0,2.0,6227.0,0,0.6666666666666667,8.333,28.571,1,benimmo
0,7859,1,2010,2023,1188.0,2829.0,10604,90,1,0.0,70.0,675.0,1,0.9166666666666666,8.333,28.571,1,LillyStairs
1,2687,1,2009,2023,580.0,2213052.0,2778,4418,2,1.0,70.0,164719.0,1,0.3636363636363636,8.333,28.571,1,NateDiaz209
0,293,1,2009,2019,36.0,18.0,214,0,1,0.0,124.0,299071.0,0,0.0,5.292,18.143,1,tiye1967
0,3895,1,2010,2018,0.0,342.0,111,3,1,0.0,122.0,207794.0,0,0.6666666666666667,5.167,17.714,1,SharronMz
0,10786,1,2012,2023,1762.0,2604.0,6192,31,1,3.0,30.0,449154.0,1,0.5,8.292,28.429,1,DebbieOutdoors
0,930,1,2014,2020,394.0,395.0,463,3,18,0.0,2.0,3372.0,1,0.0,8.25,28.286,1,marilian9
1,51108,1,2010,2023,2382.0,1018989.0,11998,2309,10,84.0,24.0,36837.0,1,0.0833333333333333,8.333,28.571,1,giraltpablo
0,832,0,2011,2017,0.0,2.0,17,0,1,0.0,26.0,343161.0,0,0.8333333333333334,7.542,25.857,1,bycoo1
0,38824,0,2013,2022,843.0,607.0,9957,3,1,0.0,100.0,2329816.0,1,0.1999999999999999,4.625,15.857,1,baddgalmel
0,351,1,2009,2017,0.0,82.0,3,1,1,0.0,2.0,2911.0,1,0.0909090909090909,8.292,28.429,1,dibiase1982
0,2715,0,2011,2023,14339.0,28788.0,954,85,1,3.0,0.0,3195.0,1,0.6,8.292,28.429,1,BthaOne
0,315,1,2011,2017,0.0,28.0,188,0,1,0.0,14.0,5752.0,0,0.0769230769230768,7.875,27.0,1,Yleiiram
0,920,0,2015,0,149.0,37.0,2784,0,0,0.0,0.0,0.0,1,0.1333333333333333,0.0,0.0,1,TheFostersABCF3
1,72258,1,2013,2023,952.0,20204.0,48880,659,1,8.0,50.0,34003.0,0,0.6666666666666667,8.333,28.571,1,JonahTulsNFL
1,16813,1,2008,2023,238.0,621127.0,3130,2636,1,0.0,8.0,14211.0,1,0.9230769230769232,8.292,28.429,1,MelanieFiona
1,4877,0,2011,2022,5.0,1063456.0,336,1778,1,0.0,0.0,48.0,1,0.2307692307692307,1.333,4.571,1,IrynaIvanova
1,43148,1,2010,2023,5385.0,30287.0,25109,142,1,10.0,84.0,42897.0,1,0.1578947368421053,8.167,28.0,1,RheaLitre
0,1639,1,2009,2022,732.0,192.0,969,0,1,0.0,112.0,3336384.0,1,0.4,8.083,27.714,1,kristinmargaret
0,2329,1,2016,2022,103.0,30.0,3180,0,1,0.0,16.0,179667.0,0,0.5714285714285714,8.333,28.571,1,realmeaney
0,729,1,2018,2021,218.0,29.0,11268,1,1,0.0,12.0,365788.0,1,0.8461538461538461,8.292,28.429,1,mishapresents
0,2483,0,2013,2019,561.0,863.0,4868,12,1,0.0,2.0,335.0,1,0.1818181818181817,8.333,28.571,1,smallfrey19
1,15412,1,2009,2023,67.0,214370.0,365,846,1,10.0,14.0,12892.0,1,0.5185185185185186,8.333,28.571,1,DCCheerleaders
1,22847,1,2009,2023,455.0,742866.0,9170,9147,1,45.0,70.0,4630.0,1,0.9,8.333,28.571,1,TheLancet
1,30273,1,2009,2023,81401.0,260204.0,303,2000,1,0.0,44.0,229334.0,1,0.0,8.292,28.429,1,benpatrick90069
1,17842,1,2008,2023,433.0,2682780.0,21998,1358,1,13.0,160.0,8186.0,1,0.9,8.333,28.571,1,jedmadela
0,66592,1,2009,2023,1886.0,1280.0,148335,23,1,199.0,118.0,103958.0,0,0.1428571428571429,8.292,28.429,1,Nobodys_Darlin
0,4516,0,2009,2020,709.0,92446.0,20,730,1,0.0,92.0,2195.0,1,0.0769230769230768,8.167,28.0,1,iamTOCCARA
1,2130,1,2009,2017,728.0,518707.0,34338,1712,1,0.0,158.0,153287.0,1,0.6666666666666667,6.583,22.571,1,JoeMande
0,20819,1,2013,2023,523.0,511.0,3368,2,11,7.0,190.0,1330716.0,1,0.1176470588235294,8.167,28.0,1,DqDquan
1,11903,1,2009,2023,2869.0,32909.0,25287,0,1,4.0,0.0,447.0,1,0.75,8.333,28.571,1,daylinleach
1,6129,1,2014,2023,1937.0,31529.0,8083,268,1,3.0,16.0,26560.0,1,0.9285714285714286,8.333,28.571,1,TransLifeline
0,18362,1,2014,2023,1157.0,379.0,178776,7,7,63.0,10.0,51285.0,0,0.6666666666666667,8.333,28.571,1,AceCruz24
1,15834,1,2009,2022,1833.0,1681008.0,44,3132,1,0.0,92.0,263172.0,1,0.3333333333333333,8.333,28.571,1,DAVIDprice24
0,9944,0,2016,0,929.0,236.0,77917,5,0,0.0,0.0,0.0,0,0.6363636363636364,0.0,0.0,1,lunasm000ke
1,4731,1,2009,2022,1116.0,173703.0,1666,1346,1,0.0,52.0,1935.0,1,0.125,8.292,28.429,1,balletrusse
0,2,0,2021,2021,60.0,1.0,18,0,1,0.0,2.0,385018.0,0,0.8571428571428572,0.083,0.286,1,soulyng
0,6302,1,2009,2023,434.0,83.0,14002,1,1,0.0,172.0,3591610.0,0,0.0,7.917,27.143,1,nat5irk
0,3,1,2015,2015,4.0,43.0,15,0,1,0.0,0.0,2.0,0,0.125,0.042,0.143,1,PSJMLN
0,21044,1,2014,2023,1565.0,7160.0,44744,70,1,4.0,134.0,140093.0,1,0.0,8.333,28.571,1,MrCoachEli
0,2349,0,2012,2017,91.0,29.0,1512,1,1,0.0,128.0,152718.0,0,0.5555555555555556,5.375,18.429,1,ATrittenbach45
0,10597,1,2010,2021,487.0,591.0,9937,0,1,0.0,82.0,3910029.0,1,0.3636363636363636,7.583,26.0,1,narahsoblin
